project_id,Project Name,Voluntary Registry,Voluntary Status,Scope,Type,Reduction / Removal,Methodology / Protocol,Region,Documents,Country,State,Project Site Location,Project Developer,Total Credits Issued,Total Credits Retired,Total Credits Remaining,CCB / Certifications,Project Owner,Offset Project Operator,Authorized Project Designee,Verifier,Registry / ARB,Project Listed,Project Registered,Project Type,Registry Documents,Project Website,Project Images,10% of Total Credits Issued
GS10800,"GS1247 VPA 260 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi",GOLD,Gold Standard Certified Project,Household & Community,Community Boreholes,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Malawi,,,CO2balance UK ltd,7701,"4,405",3296,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2149,https://registry.goldstandard.org/projects/details/2757,https://www.umnews.org/-/media/umc-media/2021/03/05/15/03/malawi-borehole-1-pumping-water-1200x900.jpg?la=en&h=900&mw=1200&w=1200&hash=247A954E243FEC90C13993D69FDB18EA,770.1
GS10801,"GS1247 VPA 261 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi",GOLD,Gold Standard Certified Project,Household & Community,Community Boreholes,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Malawi,,,CO2balance UK ltd,7376,"1,874",5502,,,,,,GOLD,,,Solar Thermal - Electricity,https://platform.sustain-cert.com/public-project/2150,https://registry.goldstandard.org/projects/details/2758,https://rippleafricausa.org/wp-content/uploads/2020/11/Borehole-repair-in-Malawi-Africa.jpg,737.6
GS10802,"GS1247 VPA 262 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi",GOLD,Gold Standard Certified Project,Household & Community,Community Boreholes,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Malawi,,,CO2balance UK ltd,7024,"6,151",873,,,,,,GOLD,,,Wind,https://platform.sustain-cert.com/public-project/2151,https://registry.goldstandard.org/projects/details/2759,https://www.co2balance.com/wp-content/uploads/2021/06/UP-BH-2.jpg,702.4000000000001
GS10804,"GS1247 VPA 264 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi",GOLD,Gold Standard Certified Project,Household & Community,Community Boreholes,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Malawi,,,CO2balance UK ltd,7359,"5,795",1564,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2153,https://registry.goldstandard.org/projects/details/2761,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F1b97cf7e-b20d-43db-856c-21de0c52807e_1000x563.jpeg",735.9000000000001
GS10806,GS5658 VPA 25: Promoting energy efficiency & clean cooking in Pemba,GOLD,Gold Standard Certified Project,Household & Community,Bundled Energy Efficiency,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Mozambique,,,Carbonsink (Carbonsink Group S.r.l.),5550,"2,368",3182,,,,,,GOLD,,,Wind,https://platform.sustain-cert.com/public-project/2155,https://registry.goldstandard.org/projects/details/2763,https://www.hse.co.ke/uploads/images/202011/image_750x_5facf1d0c399b.jpg,555.0
GS10808,Grid-connected Solar PV project in Kahone,GOLD,Gold Standard Certified Project,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Sub Saharan Africa,,Senegal,,,AERA Group,22456,0,22456,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2157,https://registry.goldstandard.org/projects/details/2765,https://www.eib.org/photos/rs/838c3cd3-bb43-407c-9e40-db4cba71a1a3/largeprvw/image.jpg,2245.6
GS10809,Grid-connected Solar PV project in Kael,GOLD,Gold Standard Certified Project,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Sub Saharan Africa,,Senegal,,,AERA Group,16909,0,16909,,,,,,GOLD,,,"Small, Low - Impact Hydro",https://platform.sustain-cert.com/public-project/2158,https://registry.goldstandard.org/projects/details/2766,https://www.meridiam.com/wp-content/uploads/2021/09/Ten-Merina-thumbnail-scaled.jpg,1690.9
GS10810,Biogas Support Program - Nepal (BSP-Nepal) Activity-1,GOLD,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,South Asia,,Nepal,,,Alternative Energy Promotion Centre,67282,0,67282,,,,,,GOLD,,,Wind,https://platform.sustain-cert.com/public-project/2159,https://registry.goldstandard.org/projects/details/2767,https://a.storyblok.com/f/191310/d9b00fb900/biogas_plant_in_chapagaun.jpeg,6728.200000000001
GS10811,Biogas Support Program - Nepal (BSP-Nepal) Activity-2,GOLD,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,South Asia,,Nepal,,,Alternative Energy Promotion Centre,57614,0,57614,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2160,https://registry.goldstandard.org/projects/details/2768,https://a.storyblok.com/f/191310/d9b00fb900/biogas_plant_in_chapagaun.jpeg,5761.400000000001
GS10812,Biogas Support Program - Nepal Activity-3,GOLD,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,South Asia,,Nepal,,,Alternative Energy Promotion Centre,141370,0,141370,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2161,https://registry.goldstandard.org/projects/details/2769,https://www.wpd.de/en/wp-content/uploads/sites/2/2021/08/Users-with-wpd-Badges-9-3000x4000.jpg,14137.0
